,classifier,filename,accuracy
113,RandomForestClassifier,dataset/transform/cols_permutation/reversing/Breast_Cancer.csv,1.0
114,AdaBoostClassifier,dataset/transform/cols_permutation/reversing/SE_Process.csv,0.9646910466582598
115,AdaBoostClassifier,dataset/transform/cols_permutation/reversing/Immuno_Therapy.csv,1.0
116,AdaBoostClassifier,dataset/transform/cols_permutation/reversing/German_Credit.csv,0.809
117,AdaBoostClassifier,dataset/transform/cols_permutation/reversing/Lung_Cancer.csv,0.7777777777777778
118,AdaBoostClassifier,dataset/transform/cols_permutation/reversing/Voice_Rehabilitation.csv,1.0
119,AdaBoostClassifier,dataset/transform/cols_permutation/reversing/Breast_Cancer.csv,1.0
120,KNeighborsClassifier,dataset/transform/rows_permutation/ascending/SE_Process.csv,0.8902900378310215
121,KNeighborsClassifier,dataset/transform/rows_permutation/ascending/Immuno_Therapy.csv,0.8222222222222222
122,KNeighborsClassifier,dataset/transform/rows_permutation/ascending/German_Credit.csv,0.831
123,KNeighborsClassifier,dataset/transform/rows_permutation/ascending/Lung_Cancer.csv,0.7777777777777778
124,KNeighborsClassifier,dataset/transform/rows_permutation/ascending/Voice_Rehabilitation.csv,0.7857142857142857
125,KNeighborsClassifier,dataset/transform/rows_permutation/ascending/Breast_Cancer.csv,0.8023426061493412
126,DecisionTreeClassifier,dataset/transform/rows_permutation/ascending/SE_Process.csv,1.0
127,DecisionTreeClassifier,dataset/transform/rows_permutation/ascending/Immuno_Therapy.csv,1.0
128,DecisionTreeClassifier,dataset/transform/rows_permutation/ascending/German_Credit.csv,1.0
129,DecisionTreeClassifier,dataset/transform/rows_permutation/ascending/Lung_Cancer.csv,1.0
130,DecisionTreeClassifier,dataset/transform/rows_permutation/ascending/Voice_Rehabilitation.csv,1.0
131,DecisionTreeClassifier,dataset/transform/rows_permutation/ascending/Breast_Cancer.csv,1.0
132,GaussianNB,dataset/transform/rows_permutation/ascending/SE_Process.csv,0.7301387137452712
133,GaussianNB,dataset/transform/rows_permutation/ascending/Immuno_Therapy.csv,0.8888888888888888
134,GaussianNB,dataset/transform/rows_permutation/ascending/German_Credit.csv,0.742
135,GaussianNB,dataset/transform/rows_permutation/ascending/Lung_Cancer.csv,0.8888888888888888
136,GaussianNB,dataset/transform/rows_permutation/ascending/Voice_Rehabilitation.csv,0.4523809523809524
137,GaussianNB,dataset/transform/rows_permutation/ascending/Breast_Cancer.csv,0.8843338213762811
138,RandomForestClassifier,dataset/transform/rows_permutation/ascending/SE_Process.csv,0.9974779319041615
139,RandomForestClassifier,dataset/transform/rows_permutation/ascending/Immuno_Therapy.csv,1.0
140,RandomForestClassifier,dataset/transform/rows_permutation/ascending/German_Credit.csv,0.989
141,RandomForestClassifier,dataset/transform/rows_permutation/ascending/Lung_Cancer.csv,0.9629629629629629
142,RandomForestClassifier,dataset/transform/rows_permutation/ascending/Voice_Rehabilitation.csv,1.0
143,RandomForestClassifier,dataset/transform/rows_permutation/ascending/Breast_Cancer.csv,1.0
144,AdaBoostClassifier,dataset/transform/rows_permutation/ascending/SE_Process.csv,0.9646910466582598
145,AdaBoostClassifier,dataset/transform/rows_permutation/ascending/Immuno_Therapy.csv,1.0
146,AdaBoostClassifier,dataset/transform/rows_permutation/ascending/German_Credit.csv,0.809
147,AdaBoostClassifier,dataset/transform/rows_permutation/ascending/Lung_Cancer.csv,0.7777777777777778
148,AdaBoostClassifier,dataset/transform/rows_permutation/ascending/Voice_Rehabilitation.csv,1.0
149,AdaBoostClassifier,dataset/transform/rows_permutation/ascending/Breast_Cancer.csv,1.0
150,KNeighborsClassifier,dataset/transform/rows_permutation/descending/SE_Process.csv,0.8902900378310215
151,KNeighborsClassifier,dataset/transform/rows_permutation/descending/Immuno_Therapy.csv,0.8222222222222222
152,KNeighborsClassifier,dataset/transform/rows_permutation/descending/German_Credit.csv,0.83
153,KNeighborsClassifier,dataset/transform/rows_permutation/descending/Lung_Cancer.csv,0.7777777777777778
154,KNeighborsClassifier,dataset/transform/rows_permutation/descending/Voice_Rehabilitation.csv,0.7857142857142857
155,KNeighborsClassifier,dataset/transform/rows_permutation/descending/Breast_Cancer.csv,0.8023426061493412
156,DecisionTreeClassifier,dataset/transform/rows_permutation/descending/SE_Process.csv,1.0
157,DecisionTreeClassifier,dataset/transform/rows_permutation/descending/Immuno_Therapy.csv,1.0
158,DecisionTreeClassifier,dataset/transform/rows_permutation/descending/German_Credit.csv,1.0
159,DecisionTreeClassifier,dataset/transform/rows_permutation/descending/Lung_Cancer.csv,1.0
160,DecisionTreeClassifier,dataset/transform/rows_permutation/descending/Voice_Rehabilitation.csv,1.0
161,DecisionTreeClassifier,dataset/transform/rows_permutation/descending/Breast_Cancer.csv,1.0
162,GaussianNB,dataset/transform/rows_permutation/descending/SE_Process.csv,0.7301387137452712
163,GaussianNB,dataset/transform/rows_permutation/descending/Immuno_Therapy.csv,0.8888888888888888
164,GaussianNB,dataset/transform/rows_permutation/descending/German_Credit.csv,0.742
165,GaussianNB,dataset/transform/rows_permutation/descending/Lung_Cancer.csv,0.8888888888888888
166,GaussianNB,dataset/transform/rows_permutation/descending/Voice_Rehabilitation.csv,0.4523809523809524
167,GaussianNB,dataset/transform/rows_permutation/descending/Breast_Cancer.csv,0.8843338213762811
168,RandomForestClassifier,dataset/transform/rows_permutation/descending/SE_Process.csv,0.9987389659520807
169,RandomForestClassifier,dataset/transform/rows_permutation/descending/Immuno_Therapy.csv,1.0
170,RandomForestClassifier,dataset/transform/rows_permutation/descending/German_Credit.csv,0.982
171,RandomForestClassifier,dataset/transform/rows_permutation/descending/Lung_Cancer.csv,1.0
172,RandomForestClassifier,dataset/transform/rows_permutation/descending/Voice_Rehabilitation.csv,1.0
173,RandomForestClassifier,dataset/transform/rows_permutation/descending/Breast_Cancer.csv,0.9970717423133236
174,AdaBoostClassifier,dataset/transform/rows_permutation/descending/SE_Process.csv,0.9646910466582598
175,AdaBoostClassifier,dataset/transform/rows_permutation/descending/Immuno_Therapy.csv,1.0
176,AdaBoostClassifier,dataset/transform/rows_permutation/descending/German_Credit.csv,0.809
177,AdaBoostClassifier,dataset/transform/rows_permutation/descending/Lung_Cancer.csv,0.7777777777777778
178,AdaBoostClassifier,dataset/transform/rows_permutation/descending/Voice_Rehabilitation.csv,1.0
179,AdaBoostClassifier,dataset/transform/rows_permutation/descending/Breast_Cancer.csv,1.0
180,KNeighborsClassifier,dataset/transform/rows_permutation/flipping/SE_Process.csv,0.8902900378310215
181,KNeighborsClassifier,dataset/transform/rows_permutation/flipping/Immuno_Therapy.csv,0.8222222222222222
182,KNeighborsClassifier,dataset/transform/rows_permutation/flipping/German_Credit.csv,0.83
183,KNeighborsClassifier,dataset/transform/rows_permutation/flipping/Lung_Cancer.csv,0.7777777777777778
184,KNeighborsClassifier,dataset/transform/rows_permutation/flipping/Voice_Rehabilitation.csv,0.7857142857142857
185,KNeighborsClassifier,dataset/transform/rows_permutation/flipping/Breast_Cancer.csv,0.8023426061493412
186,DecisionTreeClassifier,dataset/transform/rows_permutation/flipping/SE_Process.csv,1.0
187,DecisionTreeClassifier,dataset/transform/rows_permutation/flipping/Immuno_Therapy.csv,1.0
188,DecisionTreeClassifier,dataset/transform/rows_permutation/flipping/German_Credit.csv,1.0
189,DecisionTreeClassifier,dataset/transform/rows_permutation/flipping/Lung_Cancer.csv,1.0
190,DecisionTreeClassifier,dataset/transform/rows_permutation/flipping/Voice_Rehabilitation.csv,1.0
191,DecisionTreeClassifier,dataset/transform/rows_permutation/flipping/Breast_Cancer.csv,1.0
192,GaussianNB,dataset/transform/rows_permutation/flipping/SE_Process.csv,0.7301387137452712
193,GaussianNB,dataset/transform/rows_permutation/flipping/Immuno_Therapy.csv,0.8888888888888888
194,GaussianNB,dataset/transform/rows_permutation/flipping/German_Credit.csv,0.742
